model,task,method,budget,seed,run_id,em,f1,rougeL,n,peak_vram_gb,train_time_min,trainable_ratio,meta_file
qwen,dialogsum,ia3,128,43,qwen_dialogsum_ia3_b128_s43,,,0.1847662516561115,200,12.712484359741211,1.0731894532839457,0.0001343721684383333,/hpc2hdd/home/mliu954/projects/dsaa_peft/results/main/qwen_dialogsum_ia3_b128_s43_meta.json
qwen,dialogsum,ia3,2048,42,qwen_dialogsum_ia3_b2048_s42,,,0.19670192910503664,200,12.712484359741211,16.215647288163503,0.0001343721684383333,/hpc2hdd/home/mliu954/projects/dsaa_peft/results/main/qwen_dialogsum_ia3_b2048_s42_meta.json
qwen,dialogsum,ia3,2048,43,qwen_dialogsum_ia3_b2048_s43,,,0.19865464874990263,200,12.712484359741211,16.064592230319978,0.0001343721684383333,/hpc2hdd/home/mliu954/projects/dsaa_peft/results/main/qwen_dialogsum_ia3_b2048_s43_meta.json
qwen,dialogsum,ia3,512,42,qwen_dialogsum_ia3_b512_s42,,,0.19084492183907728,200,12.712484359741211,4.105059750874838,0.0001343721684383333,/hpc2hdd/home/mliu954/projects/dsaa_peft/results/main/qwen_dialogsum_ia3_b512_s42_meta.json
qwen,dialogsum,ia3,512,43,qwen_dialogsum_ia3_b512_s43,,,0.19157459604321242,200,12.712484359741211,4.048398574193318,0.0001343721684383333,/hpc2hdd/home/mliu954/projects/dsaa_peft/results/main/qwen_dialogsum_ia3_b512_s43_meta.json
qwen,dialogsum,lora,128,42,qwen_dialogsum_lora_b128_s42,,,0.21320599691269077,200,14.058740615844727,1.7155586043993631,0.009606802057548793,/hpc2hdd/home/mliu954/projects/dsaa_peft/results/main/qwen_dialogsum_lora_b128_s42_meta.json
qwen,dialogsum,lora,128,43,qwen_dialogsum_lora_b128_s43,,,0.2130305372268292,200,14.058740615844727,1.710697849591573,0.009606802057548793,/hpc2hdd/home/mliu954/projects/dsaa_peft/results/main/qwen_dialogsum_lora_b128_s43_meta.json
qwen,dialogsum,lora,2048,42,qwen_dialogsum_lora_b2048_s42,,,0.21474492566189085,200,14.058740615844727,25.523097022374472,0.009606802057548793,/hpc2hdd/home/mliu954/projects/dsaa_peft/results/main/qwen_dialogsum_lora_b2048_s42_meta.json
qwen,dialogsum,lora,2048,43,qwen_dialogsum_lora_b2048_s43,,,0.21624436348122078,200,14.058740615844727,26.039410654703776,0.009606802057548793,/hpc2hdd/home/mliu954/projects/dsaa_peft/results/main/qwen_dialogsum_lora_b2048_s43_meta.json
qwen,dialogsum,lora,512,42,qwen_dialogsum_lora_b512_s42,,,0.20791492964592365,200,14.058740615844727,6.397277478377024,0.009606802057548793,/hpc2hdd/home/mliu954/projects/dsaa_peft/results/main/qwen_dialogsum_lora_b512_s42_meta.json
qwen,dialogsum,lora,512,43,qwen_dialogsum_lora_b512_s43,,,0.2134804692168877,200,14.058740615844727,6.430355481306711,0.009606802057548793,/hpc2hdd/home/mliu954/projects/dsaa_peft/results/main/qwen_dialogsum_lora_b512_s43_meta.json
qwen,dialogsum,qlora,128,42,qwen_dialogsum_qlora_b128_s42,,,0.1916270429783565,200,5.001758098602295,3.390540317694346,0.01731659174973876,/hpc2hdd/home/mliu954/projects/dsaa_peft/results/main/qwen_dialogsum_qlora_b128_s42_meta.json
qwen,dialogsum,qlora,128,43,qwen_dialogsum_qlora_b128_s43,,,0.19184689588289033,200,5.001758098602295,3.3981299797693887,0.01731659174973876,/hpc2hdd/home/mliu954/projects/dsaa_peft/results/main/qwen_dialogsum_qlora_b128_s43_meta.json
qwen,dialogsum,qlora,2048,42,qwen_dialogsum_qlora_b2048_s42,,,0.20520193636259287,200,5.001758098602295,54.777330708503726,0.01731659174973876,/hpc2hdd/home/mliu954/projects/dsaa_peft/results/main/qwen_dialogsum_qlora_b2048_s42_meta.json
